"stemindex","Plot","No.","Sp","Azi","Dist.","D62","D67","D89","D94","D99","D04","D09","D14","dd67","dd89","dd94","dd99","dd04","dd09","dd14","89comm","94comm","99comm","04comm","09comm","14comm"
409,7094,30,"Tsca",185,7,44.1,45.2,50.5,51.7,52.6,53.4,54,56.2,,,,,,,,,,,,,
411,7094,39,"Tsca",185,13.9,46.4,47.4,53.2,54.1,55.2,55.8,56.5,57.1,,,,,,,,,,,,,
408,7094,907,"Tsca",185,18.4,,,50.2,51,52,52.2,53.2,54,,,,,,,,,,,,,
412,7094,908,"Tsca",194,17.8,,,32.3,32.8,32.9,33,35,34.6,,,,,,,,,,,,,
414,7094,76,"Tsca",196,11.4,,,9.9,10.3,10.3,10,,,,,,,,1,,,,,,"standing",
413,7094,909,"Tsca",196,16.9,,,17.3,17.3,17.1,17.1,,,,,,,,1,,,,,,"1-B-10",
415,7094,40,"Tsca",198,13.2,36.8,38.1,43.9,44.9,46.3,47.7,48.5,,,,,,,,1,,,,,,"1- standing"
416,7094,41,"Tsca",212,13.4,15.7,15.7,16.3,16.2,16.8,16.5,16.6,16.6,,,,,,,,,,,,,"by burl"
417,7094,42,"Tsca",218,13.5,29.2,30.2,33.5,34.1,35.4,35.6,36.3,36.7,,,,,,,,,,,,,
419,7094,70,"Acsa",223,11.4,28.9,29.4,31.8,31.9,32.5,32.7,33.7,33.4,,,,,,,,,,,,,
418,7094,43,"Tsca",223,16,18.7,20.3,24.6,26,26.6,27.2,28,28.9,,,,,,,,,,,,,
421,7094,46,"Tsca",228,9.1,14.7,14.7,15.6,15.4,15.6,15.6,15.5,15.9,,,,,,,,,,,,,
420,7094,,"Tsca",228,14.5,,,,8.4,8.5,8.4,9.2,,,,,,,,1,,,,,,"1- standing"
422,7094,44,"Tsca",234,14.1,46.9,48,55.4,54.2,55.3,56.3,57,,,,,,,,1,,,,,,"1- standing"
423,7094,47,"Tsca",240,7.5,48.5,49.7,55.4,57,57.7,58.8,59.9,60.8,,,,,,,,,,,,,
424,7094,45,"Tsca",243,15.6,16.2,16.7,19.2,20.2,20.6,21,21.4,22,,,,,,,,,,,,,
425,7094,911,"Tiam",253,17.9,,,48,48.7,49.7,49.9,52.2,53.8,,,,,,,,,,,,,
427,7094,81,"Tsca",254,14.5,,,9.1,,,,,,,,1,,,,,,,,,,
426,7094,912,"Acsa",254,19.3,,,34.4,35.1,35.4,,,,,,,,1,,,,,,,,
428,7094,48,"Tsca",255,7.2,27.1,27.6,29.5,30,30.5,31.1,31.7,31.5,,,,,,,,,,,,,
429,7094,49,"Tsca",258,11.2,34.5,35.3,37.4,37.6,38,38.3,38.7,38.8,,,,,,,,,,,,,
430,7094,50,"Tsca",259,13.8,45.2,46.7,53.6,54.7,55.9,57,58.5,59.2,,,,,,,,,,,,,
431,7094,56,"Tsca",268,6,18.5,18.7,18.7,18.7,,,,,,,,1,,,,,,"small branches",,,
432,7094,51,"Tsca",281,13,13.4,14.4,16.8,17.5,17.8,18,18.3,19.3,,,,,,,,"Acsa on 1989 notes",,,,,
433,7094,54,"Acsa",284,7.7,36.5,36.8,,,,,,,,1,,,,,,"Standing dead. 5 yrs.",,,,,
434,7094,913,"Acsa",286,17.1,,,38.3,40.1,41.1,41.4,,,,,,,,1,,,,,,"1-B-9",
435,7094,52,"Tsca",287,9.6,,12.7,15.3,14.1,14.8,15,15.3,14.9,,,,,,,,"Acsa on 1989 notes",,,,,
436,7094,77,"Tsca",288,14.4,,,10.1,10,10,10.1,10.5,10.4,,,,,,,,,,,,,
437,7094,53,"Acsa",292,10.6,30.4,31.2,32.7,33.8,34.3,34.6,34.7,34.3,,,,,,,,,,,,,
439,7094,60,"Tsca",314,7,24.1,25.1,28.3,29.2,30.1,30.7,31.8,31.5,,,,,,,,,,,,,
438,7094,61,"Tsca",314,11.6,23.1,24.1,25.9,26.3,26.4,26.3,26.8,26.3,,,,,,,,,,,,,
442,7094,58,"Tsca",315,4.3,20.8,21.3,22.9,23.2,23.6,23.6,24,23.8,,,,,,,,,,,,,
